Temp,Initial,Final,Rep,r,Clone
13,3,2,1,-0.405465108,CU123
13,3,2,2,-0.405465108,CU123
13,3,2,3,-0.405465108,CU123
13,3,1,4,-1.098612289,CU123
13,3,1,5,-1.098612289,CU123
13,3,2,6,-0.405465108,CU123
19,3,3,1,0,CU123
19,3,2,2,-0.405465108,CU123
19,3,3,3,0,CU123
19,3,3,4,0,CU123
19,3,2,5,-0.405465108,CU123
19,3,4,6,0.287682072,CU123
22,3,7,1,0.84729786,CU123
22,3,8,2,0.980829253,CU123
22,3,8,3,0.980829253,CU123
22,3,10,4,1.203972804,CU123
22,3,5,5,0.510825624,CU123
22,3,8,6,0.980829253,CU123
25,3,30,1,2.302585093,CU123
25,3,9,2,1.098612289,CU123
25,3,17,3,1.734601055,CU123
25,3,13,4,1.466337069,CU123
25,3,15,5,1.609437912,CU123
25,3,16,6,1.673976434,CU123
30,3,72,1,3.17805383,CU123
30,3,51,2,2.833213344,CU123
30,3,55,3,2.908720897,CU123
30,3,57,4,2.944438979,CU123
30,3,37,5,2.512305624,CU123
30,3,66,6,3.091042453,CU123
32,3,96,1,3.465735903,CU123
32,3,103,2,3.5361167,CU123
32,3,174,3,4.060443011,CU123
32,3,111,4,3.610917913,CU123
32,3,149,5,3.905334017,CU123
32,3,122,6,3.705408756,CU123
38,3,64,1,3.060270795,CU123
38,3,86,2,3.355735008,CU123
38,3,84,3,3.33220451,CU123
38,3,85,4,3.344038968,CU123
38,3,82,5,3.308106959,CU123
38,3,108,6,3.583518938,CU123
13,3,1,1,-1.098612289,A*III
13,3,0.01,2,-5.703782475,A*III
13,3,2,3,-0.405465108,A*III
13,3,1,4,-1.098612289,A*III
13,3,1,5,-1.098612289,A*III
13,3,1,6,-1.098612289,A*III
19,3,3,1,0,A*III
19,3,3,2,0,A*III
19,3,4,3,0.287682072,A*III
19,3,3,4,0,A*III
19,3,4,5,0.287682072,A*III
19,3,2,6,-0.405465108,A*III
22,3,16,1,1.673976434,A*III
22,3,21,2,1.945910149,A*III
22,3,14,3,1.540445041,A*III
22,3,16,4,1.673976434,A*III
22,3,15,5,1.609437912,A*III
22,3,17,6,1.734601055,A*III
25,3,66,1,3.091042453,A*III
25,3,88,2,3.378724526,A*III
25,3,85,3,3.344038968,A*III
25,3,74,4,3.205452805,A*III
25,3,73,5,3.191847152,A*III
25,3,39,6,2.564949357,A*III
30,3,225,1,4.317488114,A*III
30,3,278,2,4.529008825,A*III
30,3,219,3,4.290459441,A*III
30,3,271,4,4.503506532,A*III
30,3,288,5,4.564348191,A*III
30,3,239,6,4.377851263,A*III
32,3,277,1,4.525405218,A*III
32,3,306,2,4.624972813,A*III
32,3,344,3,4.742029369,A*III
32,3,320,4,4.669708707,A*III
32,3,351,5,4.762173935,A*III
32,3,322,6,4.675939257,A*III
38,3,235,1,4.360973225,A*III
38,3,222,2,4.304065093,A*III
38,3,214,3,4.267363726,A*III
38,3,247,4,4.410776048,A*III
38,3,138,5,3.828641396,A*III
38,3,185,6,4.121743536,A*III
13,3,0.01,1,-5.703782475,B2086.2
13,3,2,2,-0.405465108,B2086.2
13,3,0.01,3,-5.703782475,B2086.2
13,3,2,4,-0.405465108,B2086.2
13,3,1,5,-1.098612289,B2086.2
13,3,1,6,-1.098612289,B2086.2
19,3,2,1,-0.405465108,B2086.2
19,3,1,2,-1.098612289,B2086.2
19,3,5,3,0.510825624,B2086.2
19,3,4,4,0.287682072,B2086.2
19,3,2,5,-0.405465108,B2086.2
19,3,3,6,0,B2086.2
22,3,9,1,1.098612289,B2086.2
22,3,9,2,1.098612289,B2086.2
22,3,7,3,0.84729786,B2086.2
22,3,12,4,1.386294361,B2086.2
22,3,3,5,0,B2086.2
22,3,5,6,0.510825624,B2086.2
25,3,54,1,2.890371758,B2086.2
25,3,75,2,3.218875825,B2086.2
25,3,58,3,2.961830722,B2086.2
25,3,83,4,3.320228319,B2086.2
25,3,62,5,3.028522096,B2086.2
25,3,77,6,3.245193133,B2086.2
30,3,535,1,5.183654458,B2086.2
30,3,492,2,5.099866428,B2086.2
30,3,460,3,5.032614201,B2086.2
30,3,581,4,5.266138468,B2086.2
30,3,455,5,5.02168513,B2086.2
30,3,501,6,5.117993812,B2086.2
32,3,536,1,5.185521872,B2086.2
32,3,518,2,5.151362954,B2086.2
32,3,587,3,5.276412531,B2086.2
32,3,405,4,4.905274778,B2086.2
32,3,532,5,5.178031201,B2086.2
32,3,450,6,5.010635294,B2086.2
38,3,570,1,5.247024072,B2086.2
38,3,555,2,5.220355825,B2086.2
38,3,712,3,5.469465623,B2086.2
38,3,602,4,5.301645157,B2086.2
38,3,447,5,5.003946306,B2086.2
38,3,696,6,5.446737372,B2086.2
13,3,2,1,-0.405465108,SB3539.1
13,3,2,2,-0.405465108,SB3539.1
13,3,0.01,3,-5.703782475,SB3539.1
13,3,1,4,-1.098612289,SB3539.1
13,3,0.01,5,-5.703782475,SB3539.1
13,3,1,6,-1.098612289,SB3539.1
19,3,7,1,0.84729786,SB3539.1
19,3,11,2,1.299282984,SB3539.1
19,3,8,3,0.980829253,SB3539.1
19,3,6,4,0.693147181,SB3539.1
19,3,14,5,1.540445041,SB3539.1
19,3,8,6,0.980829253,SB3539.1
22,3,36,1,2.48490665,SB3539.1
22,3,57,2,2.944438979,SB3539.1
22,3,37,3,2.512305624,SB3539.1
22,3,29,4,2.268683541,SB3539.1
22,3,42,5,2.63905733,SB3539.1
22,3,45,6,2.708050201,SB3539.1
25,3,203,1,4.21459369,SB3539.1
25,3,406,2,4.907740871,SB3539.1
25,3,208,3,4.238925791,SB3539.1
25,3,253,4,4.4347772,SB3539.1
25,3,250,5,4.422848629,SB3539.1
25,3,363,6,4.795790546,SB3539.1
30,3,1036,1,5.844510134,SB3539.1
30,3,1392,2,6.139884552,SB3539.1
30,3,1401,3,6.146329258,SB3539.1
30,3,1752,4,6.369900983,SB3539.1
30,3,1806,5,6.400257445,SB3539.1
30,3,658,6,5.390592643,SB3539.1
32,3,1120,1,5.922471676,SB3539.1
32,3,1101,2,5.905361848,SB3539.1
32,3,1386,3,6.135564891,SB3539.1
32,3,882,4,5.683579767,SB3539.1
32,3,1162,5,5.959285649,SB3539.1
32,3,844,6,5.639540206,SB3539.1
38,3,10,1,1.203972804,SB3539.1
38,3,12,2,1.386294361,SB3539.1
38,3,19,3,1.84582669,SB3539.1
38,3,10,4,1.203972804,SB3539.1
38,3,5,5,0.510825624,SB3539.1
38,3,19,6,1.84582669,SB3539.1
13,3,0.01,1,-5.703782475,A*V
