Temp,Initial,Final,r,Clone
19,3,5,0.5108256238,CU4106_young
19,3,3,0,CU4106_young
19,3,5,0.5108256238,CU4106_young
19,3,13,1.466337069,CU4106_young
19,3,11,1.299282984,CU4106_young
19,3,12,1.386294361,CU4106_young
22,3,18,1.791759469,CU4106_young
22,3,17,1.734601055,CU4106_young
22,3,19,1.84582669,CU4106_young
22,3,19,1.84582669,CU4106_young
22,3,18,1.791759469,CU4106_young
22,3,18,1.791759469,CU4106_young
25,3,56,2.926739402,CU4106_young
25,3,63,3.044522438,CU4106_young
25,3,30,2.302585093,CU4106_young
25,3,89,3.390024081,CU4106_young
25,3,56,2.926739402,CU4106_young
25,3,73,3.191847152,CU4106_young
30,3,1560,6.253828812,CU4106_young
30,3,2520,6.733401892,CU4106_young
30,3,2130,6.56526497,CU4106_young
30,3,2100,6.551080335,CU4106_young
30,3,2280,6.633318433,CU4106_young
30,3,2760,6.82437367,CU4106_young
32,3,5820,7.570443252,CU4106_young
32,3,3360,7.021083964,CU4106_young
32,3,4170,7.237059026,CU4106_young
32,3,9750,8.086410275,CU4106_young
32,3,7590,7.835974582,CU4106_young
32,3,7020,7.757906208,CU4106_young
38,3,9240,8.032684876,CU4106_young
38,3,20760,8.842171049,CU4106_young
38,3,16380,8.605204069,CU4106_young
38,3,12870,8.364042012,CU4106_young
38,3,12900,8.366370302,CU4106_young
38,3,14100,8.455317788,CU4106_young
19,3,8,0.980829253,YFP_young
19,3,10,1.203972804,YFP_young
19,3,6,0.6931471806,YFP_young
19,3,3,0,YFP_young
19,3,7,0.8472978604,YFP_young
19,3,9,1.098612289,YFP_young
22,3,16,1.673976434,YFP_young
22,3,12,1.386294361,YFP_young
22,3,19,1.84582669,YFP_young
22,3,25,2.120263536,YFP_young
22,3,24,2.079441542,YFP_young
22,3,27,2.197224577,YFP_young
25,3,109,3.592735594,YFP_young
25,3,98,3.48635519,YFP_young
25,3,69,3.135494216,YFP_young
25,3,108,3.583518938,YFP_young
25,3,173,4.054679306,YFP_young
25,3,220,4.295015258,YFP_young
30,3,4080,7.215239979,YFP_young
30,3,4740,7.365180126,YFP_young
30,3,4680,7.3524411,YFP_young
30,3,4440,7.299797367,YFP_young
30,3,4980,7.414572881,YFP_young
30,3,5160,7.45007957,YFP_young
32,3,5640,7.539027056,YFP_young
32,3,7380,7.807916629,YFP_young
32,3,14160,8.459564079,YFP_young
32,3,11520,8.253227646,YFP_young
32,3,14490,8.482601747,YFP_young
32,3,13320,8.398409655,YFP_young
38,3,20200,8.814825595,YFP_young
38,3,18720,8.738735461,YFP_young
38,3,25410,9.044285788,YFP_young
38,3,19530,8.781094735,YFP_young
38,3,20010,8.805375139,YFP_young
38,3,15930,8.577347114,YFP_young
